+-------+-------+------+-----+--------+-----------------------------+-------+-------+-------+-------+
| COUNT |  2XX  | 4XX  | 5XX | METHOD |             URI             |  MIN  |  P50  |  P99  |  MAX  |
+-------+-------+------+-----+--------+-----------------------------+-------+-------+-------+-------+
| 72661 | 70804 | 1857 |   0 | POST   | ^/api/condition/[0-9a-z-]+$ | 0.004 | 0.004 | 0.100 | 0.248 |
|  3302 |  3169 |  133 |   0 | GET    | ^/api/isu/[0-9a-z-]+/icon$  | 0.004 | 0.024 | 0.100 | 0.604 |
|  2837 |  2542 |  295 |   0 | GET    | ^/api/condition/[0-9a-z-]+$ | 0.004 | 0.088 | 0.048 | 0.452 |
|  1091 |   703 |    0 |   0 | GET    | ^/assets/                   | 0.004 | 0.000 | 0.016 | 0.088 |
|   868 |   655 |  213 |   0 | GET    | ^/api/isu/[0-9a-z-]+/graph$ | 0.132 | 0.028 | 0.228 | 0.516 |
|   597 |   467 |  130 |   0 | GET    | ^/api/isu/[0-9a-z-]+$       | 0.012 | 0.008 | 0.048 | 0.260 |
|   567 |   223 |  344 |   0 | POST   | /api/auth                   | 0.004 | 0.016 | 0.004 | 0.224 |
|   507 |   464 |   43 |   0 | GET    | /api/isu                    | 0.012 | 0.024 | 0.176 | 0.328 |
|   257 |   211 |    0 |   0 | GET    | /                           | 0.000 | 0.004 | 0.008 | 0.036 |
|   222 |    95 |  127 |   0 | GET    | /api/user/me                | 0.004 | 0.000 | 0.116 | 0.172 |
|   131 |    86 |   45 |   0 | POST   | /api/signout                | 0.004 | 0.016 | 0.036 | 0.112 |
|   114 |     9 |  105 |   0 | GET    | /api/trend                  | 0.024 | 0.992 | 0.340 | 1.004 |
|    55 |    51 |    4 |   0 | POST   | /api/isu                    | 0.056 | 0.068 | 0.092 | 0.120 |
|    38 |    38 |    0 |   0 | GET    | /status                     | 0.000 | 0.000 | 0.000 | 0.000 |
|    18 |     6 |    0 |   0 | GET    | ^/isu/[0-9a-z-]+/condition$ | 0.000 | 0.000 | 0.000 | 0.004 |
|     6 |     6 |    0 |   0 | GET    | ^/isu/[0-9a-z-]+/graph$     | 0.000 | 0.000 | 0.000 | 0.000 |
|     6 |     6 |    0 |   0 | GET    | ^/isu/[0-9a-z-]+$           | 0.000 | 0.004 | 0.000 | 0.004 |
|     3 |     1 |    0 |   0 | GET    | /register                   | 0.000 | 0.000 | 0.000 | 0.000 |
|     1 |     1 |    0 |   0 | POST   | /initialize                 | 0.220 | 0.220 | 0.220 | 0.220 |
+-------+-------+------+-----+--------+-----------------------------+-------+-------+-------+-------+
